Year,Month,Country,Passengers,Flights,Freight (tonnes)
1990,1,United States,779445.0,5208.0,534338.0
1990,1,China,196622.0,1350.0,140592.0
1990,1,Italy,327519.0,2116.0,205358.0
1990,1,Mexico,243615.0,1649.0,160862.0
1990,1,Canada,200381.0,1322.0,102993.0
1990,1,Japan,389717.0,2626.0,215745.0
1990,1,Germany,373472.0,2475.0,160706.0
1990,1,United Kingdom,309011.0,2017.0,93131.0
1990,1,France,-130566.0,-840.0,-62585.0
1990,1,India,110266.0,695.0,54608.0
1990,1,Brazil,84238.0,564.0,35344.0
1990,1,Australia,73275.0,515.0,47699.0
1990,1,South Korea,121484.0,793.0,63648.0
1990,1,Spain,156066.0,1006.0,52150.0
1990,1,Netherlands,95311.0,661.0,60625.0
1990,1,UAE,50527.0,329.0,30956.0
1990,1,Turkey,51720.0,379.0,23484.0
1990,1,Singapore,42931.0,276.0,24621.0
1990,1,Thailand,71207.0,513.0,32415.0
1990,1,Saudi Arabia,28847.0,200.0,12159.0
1990,2,United States,795298.0,5290.0,411080.0
1990,2,China,185099.0,1204.0,58785.0
1990,2,Italy,296108.0,1985.0,158475.0
1990,2,Mexico,252379.0,1721.0,122043.0
1990,2,Canada,211070.0,1381.0,86329.0
1990,2,Japan,427644.0,2895.0,187815.0
1990,2,Germany,363220.0,2390.0,202388.0
1990,2,United Kingdom,268387.0,1773.0,158918.0
1990,2,France,264666.0,1777.0,94921.0
1990,2,India,98787.0,683.0,44499.0
1990,2,Brazil,95833.0,601.0,37605.0
1990,2,Australia,78374.0,512.0,24260.0
1990,2,South Korea,102609.0,717.0,41626.0
1990,2,Spain,139922.0,958.0,84571.0
1990,2,Netherlands,94236.0,630.0,60735.0
1990,2,UAE,50551.0,350.0,13484.0
1990,2,Turkey,60165.0,393.0,29402.0
1990,2,Singapore,38475.0,265.0,20860.0
1990,2,Thailand,69297.0,464.0,27845.0
1990,2,Saudi Arabia,28915.0,195.0,11114.0
1990,3,United States,799636.0,5332.0,268498.0
1990,3,China,215809.0,1491.0,158488.0
1990,3,Italy,307877.0,2040.0,209986.0
1990,3,Mexico,245316.0,1649.0,121800.0
1990,3,Canada,199645.0,1326.0,105716.0
1990,3,Japan,365723.0,2435.0,189500.0
1990,3,Germany,351102.0,2352.0,194093.0
1990,3,United Kingdom,324606.0,2168.0,164840.0
1990,3,France,307565.0,2003.0,181763.0
1990,3,India,88167.0,681.0,65023.0
1990,3,Brazil,98087.0,651.0,65891.0
1990,3,Australia,80818.0,528.0,51468.0
1990,3,South Korea,112889.0,780.0,70532.0
1990,3,Spain,159005.0,1073.0,91097.0
1990,3,Netherlands,101164.0,671.0,54622.0
1990,3,UAE,54084.0,327.0,29668.0
1990,3,Turkey,57046.0,397.0,40285.0
1990,3,Singapore,34385.0,283.0,26737.0
1990,3,Thailand,63312.0,471.0,47708.0
1990,3,Saudi Arabia,35881.0,214.0,20453.0
1990,4,United States,696180.0,4686.0,251857.0
1990,4,China,168877.0,4.0,88982.0
1990,4,Italy,315303.0,2120.0,97651.0
1990,4,Mexico,257189.0,1744.0,121083.0
1990,4,Canada,212153.0,1375.0,123043.0
1990,4,Japan,390775.0,2630.0,202987.0
1990,4,Germany,358967.0,2428.0,112606.0
1990,4,United Kingdom,290092.0,1904.0,179160.0
1990,4,France,264769.0,1853.0,100298.0
1990,4,India,95796.0,626.0,27953.0
1990,4,Brazil,91582.0,618.0,46275.0
1990,4,Australia,80970.0,545.0,45599.0
1990,4,South Korea,127208.0,799.0,53040.0
1990,4,Spain,154734.0,1011.0,54681.0
1990,4,Netherlands,94093.0,632.0,33452.0
1990,4,UAE,52745.0,309.0,29168.0
1990,4,Turkey,57525.0,405.0,33135.0
1990,4,Singapore,49435.0,267.0,12384.0
1990,4,Thailand,66160.0,486.0,29264.0
1990,4,Saudi Arabia,26539.0,197.0,14629.0
1990,5,United States,832234.0,5567.0,367423.0
1990,5,China,193868.0,1287.0,117001.0
1990,5,Italy,288243.0,1883.0,142550.0
1990,5,Mexico,251520.0,1689.0,168101.0
1990,5,Canada,181806.0,1208.0,114384.0
1990,5,Japan,358564.0,2427.0,176182.0
1990,5,Germany,360636.0,2434.0,160317.0
1990,5,United Kingdom,337030.0,2212.0,207337.0
1990,5,France,272361.0,1825.0,104899.0
1990,5,India,104669.0,673.0,28294.0
1990,5,Brazil,79643.0,539.0,55848.0
1990,5,Australia,85948.0,526.0,32256.0
1990,5,South Korea,123324.0,830.0,46582.0
1990,5,Spain,151915.0,986.0,101292.0
1990,5,Netherlands,105878.0,694.0,44106.0
1990,5,UAE,53647.0,345.0,19264.0
1990,5,Turkey,58206.0,376.0,20757.0
1990,5,Singapore,41364.0,257.0,16423.0
1990,5,Thailand,63867.0,452.0,32615.0
1990,5,Saudi Arabia,32775.0,188.0,12755.0
1990,6,United States,685580.0,4525.0,262400.0
1990,6,China,206539.0,1358.0,74218.0
1990,6,Italy,276479.0,1864.0,117709.0
1990,6,Mexico,250501.0,1646.0,118380.0
1990,6,Canada,210937.0,1402.0,112815.0
1990,6,Japan,406895.0,2733.0,211754.0
1990,6,Germany,345782.0,2331.0,222673.0
1990,6,United Kingdom,297856.0,2017.0,94458.0
1990,6,France,299935.0,1967.0,122087.0
1990,6,India,112089.0,694.0,66666.0
1990,6,Brazil,86439.0,575.0,51572.0
1990,6,Australia,72693.0,531.0,49694.0
1990,6,South Korea,113267.0,736.0,64792.0
1990,6,Spain,153553.0,1002.0,56398.0
1990,6,Netherlands,98525.0,665.0,51881.0
1990,6,UAE,52082.0,330.0,14765.0
1990,6,Turkey,69065.0,416.0,27316.0
1990,6,Singapore,47683.0,280.0,25339.0
1990,6,Thailand,71718.0,437.0,29913.0
1990,6,Saudi Arabia,23519.0,201.0,14140.0
1990,7,United States,823446.0,5410.0,299776.0
1990,7,China,189141.0,1258.0,116561.0
1990,7,Italy,276540.0,1827.0,152701.0
1990,7,Mexico,245713.0,2.0,94294.0
1990,7,Canada,201040.0,1313.0,126025.0
1990,7,Japan,389570.0,2603.0,128256.0
1990,7,Germany,328168.0,2228.0,223343.0
1990,7,United Kingdom,282679.0,1832.0,88331.0
1990,7,France,273435.0,1791.0,149852.0
1990,7,India,113818.0,720.0,52774.0
1990,7,Brazil,98668.0,643.0,35819.0
1990,7,Australia,76053.0,512.0,23409.0
1990,7,South Korea,125786.0,825.0,53216.0
1990,7,Spain,144840.0,997.0,64315.0
1990,7,Netherlands,112626.0,698.0,52753.0
1990,7,UAE,50492.0,329.0,17218.0
1990,7,Turkey,65926.0,420.0,23590.0
1990,7,Singapore,34180.0,269.0,18563.0
1990,7,Thailand,72775.0,482.0,22688.0
1990,7,Saudi Arabia,36849.0,199.0,20247.0
1990,8,United States,823658.0,5460.0,361817.0
1990,8,China,202867.0,1386.0,71047.0
1990,8,Italy,311803.0,2070.0,174075.0
1990,8,Mexico,271420.0,1728.0,166800.0
1990,8,Canada,204868.0,1358.0,100648.0
1990,8,Japan,406864.0,2695.0,178814.0
1990,8,Germany,359898.0,2370.0,219985.0
1990,8,United Kingdom,293515.0,1992.0,125537.0
1990,8,France,300522.0,1985.0,107160.0
1990,8,India,,,
1990,8,Brazil,99279.0,634.0,49788.0
1990,8,Australia,87806.0,587.0,34987.0
1990,8,South Korea,119038.0,776.0,57582.0
1990,8,Spain,135870.0,932.0,81514.0
1990,8,Netherlands,102293.0,658.0,46350.0
1990,8,UAE,48857.0,351.0,34596.0
1990,8,Turkey,56090.0,373.0,37260.0
1990,8,Singapore,37241.0,241.0,18750.0
1990,8,Thailand,79409.0,467.0,43772.0
1990,8,Saudi Arabia,26593.0,200.0,13622.0
1990,9,United States,756707.0,5028.0,436018.0
1990,9,China,198799.0,1347.0,74669.0
1990,9,Italy,295417.0,1942.0,98080.0
1990,9,Mexico,242411.0,1643.0,105516.0
1990,9,Canada,188028.0,1261.0,70283.0
1990,9,Japan,437856.0,-1.0,199860.0
1990,9,Germany,326347.0,2190.0,212468.0
1990,9,United Kingdom,295423.0,1997.0,136281.0
1990,9,France,253248.0,1657.0,100860.0
1990,9,India,107998.0,720.0,35783.0
1990,9,Brazil,77092.0,601.0,48822.0
1990,9,Australia,84855.0,552.0,45685.0
1990,9,South Korea,118348.0,832.0,65936.0
1990,9,Spain,145441.0,997.0,70826.0
1990,9,Netherlands,98469.0,714.0,68852.0
1990,9,UAE,49081.0,325.0,32543.0
1990,9,Turkey,43245.0,341.0,19781.0
1990,9,Singapore,35521.0,272.0,28556.0
1990,9,Thailand,62772.0,425.0,22548.0
1990,9,Saudi Arabia,27199.0,193.0,16756.0
1990,10,United States,798613.0,5263.0,353571.0
1990,10,China,205180.0,1393.0,143693.0
1990,10,Italy,286824.0,4.0,137825.0
1990,10,Mexico,270789.0,1838.0,162301.0
1990,10,Canada,198690.0,1333.0,103346.0
1990,10,Japan,380735.0,2532.0,224143.0
1990,10,Germany,336617.0,2305.0,220054.0
1990,10,United Kingdom,311184.0,2067.0,154512.0
1990,10,France,271849.0,1811.0,116974.0
