Founding Year,Team Size,Funding Amount (USD),Number of AI Patents,Website Visits per Month,CEO Name,Startup Code,Success
2016,58,2757901.08,2,3256,Heidi,S-FAIL-2824,0
2013,7,4904270.76,3,7358,Eve,S-FAIL-1409,0
2022,29,3789599.98,5,7355,Alice,S-SUCCESS-5506,1
2020,29,4007445.52,1,4538,Eve,S-FAIL-5012,0
2017,45,8457710.09,5,5394,Dana,S-SUCCESS-4657,1
2022,85,9307166.66,0,4913,Charlie,S-SUCCESS-3286,1
2014,31,797119.7,4,6082,Eve,S-FAIL-2679,0
2016,63,2168295.3,1,6530,Frank,S-FAIL-9935,0
2019,76,6744320.82,7,5310,Bob,S-SUCCESS-2424,1
2012,93,3650603.13,1,5563,Bob,S-SUCCESS-7912,1
2016,90,2616220.13,2,4255,Heidi,S-FAIL-1520,0
2020,63,3023376.83,2,5524,Frank,S-FAIL-1488,0
2020,98,3293252.57,2,5195,Dana,S-SUCCESS-2535,1
2017,2,8501830.97,0,3906,Frank,S-FAIL-4582,0
2014,28,1452551.18,3,4983,Grace,S-FAIL-4811,0
2013,63,7118218.87,1,4540,Dana,S-SUCCESS-9279,1
2017,78,5572917.77,4,4269,Bob,S-SUCCESS-1434,1
2017,4,3035450.42,3,3624,Eve,S-FAIL-4257,0
2012,71,4255830.48,5,5075,Dana,S-SUCCESS-9928,1
2015,73,2636448.74,2,4063,Eve,S-FAIL-7873,0
2014,28,6153985.74,0,4435,Eve,S-FAIL-4611,0
2011,10,907782.39,1,6290,Eve,S-FAIL-8359,0
2017,63,151330.14,2,5759,Eve,S-FAIL-5557,0
2021,38,6316154.71,6,3825,Bob,S-SUCCESS-1106,1
2023,98,2023312.14,2,5422,Frank,S-FAIL-3615,0
2015,52,802315.08,3,5159,Heidi,S-FAIL-7924,0
2011,45,4028159.89,1,7042,Heidi,S-FAIL-6574,0
2021,25,602608.46,4,6660,Heidi,S-FAIL-5552,0
2014,80,8877509.77,3,3160,Bob,S-SUCCESS-3547,1
2010,60,373406.04,6,6033,Heidi,S-FAIL-4527,0
2021,33,5830762.47,4,6518,Alice,S-SUCCESS-6514,1
2019,97,4440893.82,4,5671,Bob,S-SUCCESS-2674,1
2015,89,6753058.74,6,4598,Dana,S-SUCCESS-2519,1
2022,53,3348711.41,0,7896,Eve,S-FAIL-7224,0
2021,63,1634912.01,2,5782,Heidi,S-FAIL-2584,0
2018,59,9820224.79,3,7372,Charlie,S-SUCCESS-6881,1
2010,53,8405441.67,3,6622,Dana,S-SUCCESS-6635,1
2020,13,8618005.72,6,5557,Charlie,S-SUCCESS-5333,1
2020,40,2577488.47,3,4304,Heidi,S-FAIL-1711,0
2019,3,484463.87,4,4971,Heidi,S-FAIL-8527,0
2021,4,3102328.6,2,4734,Frank,S-FAIL-9785,0
2021,57,5417116.03,3,3543,Frank,S-FAIL-3045,0
2023,82,3333847.29,1,5780,Grace,S-FAIL-7201,0
2023,60,8295903.14,2,6881,Bob,S-SUCCESS-2291,1
2023,3,2788274.87,5,4642,Eve,S-FAIL-5803,0
2012,3,9655993.12,1,7596,Alice,S-SUCCESS-6925,1
2021,93,4626925.1,1,3131,Grace,S-FAIL-4150,0
2016,55,8436028.44,3,6265,Alice,S-SUCCESS-2139,1
2013,88,2024362.34,3,7006,Alice,S-SUCCESS-1750,1
2018,97,4172403.66,4,4755,Dana,S-SUCCESS-4733,1
2012,98,7025170.89,2,4777,Bob,S-SUCCESS-5741,1
2014,2,1469695.61,4,6251,Eve,S-FAIL-2307,0
2012,20,1414179.68,5,5607,Eve,S-FAIL-4814,0
2016,3,9698414.98,4,2603,Bob,S-SUCCESS-2654,1
2014,54,7174491.53,1,3988,Alice,S-SUCCESS-7227,1
2018,45,506568.42,2,4984,Eve,S-FAIL-5554,0
2016,91,4048326.92,3,3356,Bob,S-SUCCESS-8428,1
2011,33,4391855.3,1,4431,Heidi,S-FAIL-6977,0
2013,71,7466022.17,0,3386,Alice,S-SUCCESS-3664,1
2018,33,2583519.22,5,4556,Frank,S-FAIL-7065,0
2021,69,1924903.38,7,4596,Eve,S-FAIL-6820,0
2023,56,900642.37,3,5422,Eve,S-FAIL-4432,0
2011,76,4340313.3,4,4890,Dana,S-SUCCESS-5374,1
2019,57,6916149.02,4,5603,Charlie,S-SUCCESS-2169,1
2018,18,676116.6,3,5460,Grace,S-FAIL-3803,0
2019,39,9160615.9,2,6238,Bob,S-SUCCESS-9751,1
2014,25,4479287.07,0,6049,Grace,S-FAIL-5010,0
2011,70,2473894.86,2,5922,Frank,S-FAIL-3677,0
2013,99,1029345.57,4,8726,Charlie,S-SUCCESS-8573,1
2021,71,1910373.37,5,5417,Heidi,S-FAIL-7216,0
2021,87,9352678.57,0,8112,Bob,S-SUCCESS-5422,1
2016,12,6418878.88,6,5495,Charlie,S-SUCCESS-4598,1
2021,17,5215292.95,5,4901,Heidi,S-FAIL-6313,0
2022,98,6605402.15,6,4552,Charlie,S-SUCCESS-1916,1
2017,74,4413161.7,2,6812,Alice,S-SUCCESS-4752,1
2012,60,7327389.23,3,6969,Alice,S-SUCCESS-1525,1
2023,71,572389.66,4,5720,Heidi,S-FAIL-6168,0
2010,81,5703768.38,6,6360,Alice,S-SUCCESS-7572,1
2013,94,1670599.83,4,3467,Eve,S-FAIL-5386,0
2011,4,1289630.01,4,3141,Frank,S-FAIL-2084,0
2017,21,3484608.7,4,6496,Grace,S-FAIL-4456,0
2013,60,1008810.75,6,4848,Frank,S-FAIL-6155,0
2011,37,1032154.18,2,5899,Grace,S-FAIL-4483,0
2023,20,3182991.76,3,4139,Eve,S-FAIL-9179,0
2015,91,9797154.23,3,6988,Bob,S-SUCCESS-7482,1
